,goal,iteration,numSteps,reward,start,success
0,[-0.04395812  0.63991777  0.26560332],0,400,-5404.26214229,[ 1.54849783  0.80087988  0.00288816],False
1,[ 0.91289658  0.4207035  -0.47322783],0,68,-836.212506007,[ 1.55856045  0.79713324  0.00176033],False
2,[ 0.0635268   0.2333701   0.65771541],0,400,-5583.99679128,[ 1.56109343  0.79644047  0.00784754],False
3,[-0.78464066 -0.63891229  0.51623446],0,400,-5468.54759668,[ 1.57324744  0.79172316  0.01040237],False
4,[-0.28223631  0.80046322 -0.64683402],0,13,-75.4345513082,[ 1.59465172  0.78173375  0.01749855],False
5,[-0.7552934   0.69757002 -0.33052732],0,400,-5562.27401238,[ 1.60607028  0.77782054  0.00777899],False
6,[ 0.65697671 -0.04527603  0.85229213],0,400,-5457.57096579,[ 1.56295638  0.79523691  0.00652662],False
7,[ 0.13222155 -0.73615207 -0.045238  ],0,400,-5490.41113017,[ 1.61296374  0.77597591  0.01371565],False
8,[ 0.18000329 -0.31367351  0.47700794],0,400,-5409.15659639,[ 1.58042317  0.78735437  0.01228872],False
9,[ 0.17010826  0.50210799  0.79130086],0,73,-900.96426182,[ 1.55817869  0.7961982   0.01651679],False
10,[ 0.58035068 -0.17126156  0.69960239],1,400,-5775.60106444,[ 1.61293581  0.77340816  0.00749509],False
11,[-0.34437742 -0.8228731  -0.70255074],1,400,-5638.22356954,[ 1.58169776  0.78750261  0.00196568],False
12,[ 0.89879919  0.00516073  0.72310411],1,400,-5630.47787965,[ 1.59728661  0.78117072  0.00228225],False
13,[-0.28867291  0.61753455  0.59156949],1,92,-1171.188721,[ 1.54772737  0.79996864  0.00940266],False
14,[ 0.47086619  0.84434242  0.30348427],1,400,-5546.76303898,[ 1.55621631  0.79847504 -0.00249798],False
15,[-0.95955228 -0.44595624 -0.21898601],1,400,-5529.97398012,[ 1.54985123  0.79976979  0.0166621 ],False
16,[-0.52721472 -0.46620892  0.97429519],1,400,-5577.40250357,[ 1.55189725  0.79918718  0.01386327],False
17,[-0.81298409  0.11246685 -0.98691986],1,400,-5690.82418544,[ 1.56170995  0.79659814  0.00655542],False
18,[-0.09301269 -0.23598629  0.19171558],1,400,-5630.4345363,[ 1.61031871  0.7769449   0.02028731],False
19,[-0.86034932  0.28679874 -0.65107137],1,400,-5673.67539573,[ 1.58507731  0.78600158  0.01892745],False
20,[-0.62198344 -0.62991654  0.43944039],2,400,-5538.56171561,[ 1.55679838  0.79687597  0.00304705],False
21,[ 0.79557001 -0.85574629 -0.43723788],2,400,-5498.56296917,[ 1.55230674  0.79720279  0.01454561],False
22,[-0.52070648  0.63901083  0.31783369],2,400,-5492.43749808,[ 1.57122625  0.79056153  0.0070648 ],False
23,[-0.84130051  0.00545303  0.80509039],2,400,-5677.80465257,[ 1.58163574  0.78685523  0.01606774],False
24,[ 0.85927622  0.56528193 -0.92796079],2,400,-5552.90465098,[ 1.59178587  0.78372218  0.01863102],False
25,[ 0.8313806   0.70555767 -0.15615699],2,400,-5644.61282725,[ 1.60109795  0.7812562   0.00454665],False
26,[ 0.75569615  0.5255378   0.56756866],2,400,-5632.66395381,[ 1.55948777  0.79593876  0.00237059],False
27,[ 0.88234707 -0.35152398  0.7771444 ],2,400,-5545.61105147,[ 1.55784237  0.79610842  0.0024007 ],False
28,[-0.87053376  0.6235482   0.47913768],2,400,-5604.22487134,[ 1.59720744  0.78019501  0.01525856],False
29,[-0.88940547 -0.27468714 -0.79880743],2,400,-5551.96837756,[ 1.58548757  0.78592546  0.00856811],False
30,[-0.34030125  0.14260488 -0.38351562],3,400,-5619.20305147,[ 1.55476239  0.79688908  0.01125967],False
31,[ 0.93504701 -0.0153271   0.55532951],3,400,-5686.34548726,[ 1.58036267  0.78827038  0.01092604],False
32,[-0.40236825 -0.73096718  0.97488827],3,49,-585.778178672,[ 1.59537931  0.7818273   0.00750836],False
33,[ 0.82960436 -0.33226332 -0.87023846],3,400,-5455.82564867,[ 1.5619044   0.79629366  0.00409419],False
34,[-0.319165    0.85779948 -0.72515456],3,400,-5677.2266451,[ 1.55654493  0.79717202  0.00832515],False
35,[ 0.89810164  0.19462601  0.4139925 ],3,400,-5624.62757208,[ 1.56932818  0.79254107  0.00173824],False
36,[-0.1108536  -0.44178685  0.76568166],3,400,-5565.63997708,[ 1.55747673  0.79804536  0.00636803],False
37,[ 0.04838869  0.71954836  0.22696051],3,400,-5657.01241195,[ 1.59956443  0.7792043   0.02134629],False
38,[ 0.35569698 -0.22905565 -0.52032708],3,400,-5484.78889437,[ 1.59474952  0.78252455  0.01312172],False
39,[-0.29938674  0.04071229 -0.65125939],3,400,-5500.84464499,[ 1.56596561  0.79298677  0.01005853],False
40,[-0.51524345 -0.53147486  0.98701651],4,400,-5374.57434453,[ 1.56044167  0.79504839  0.00169051],False
41,[-0.99810538  0.55416444 -0.28630487],4,400,-5609.89496257,[ 1.56610672  0.79329115  0.00536873],False
42,[-0.21364645  0.72207835 -0.00880695],4,400,-5870.72250994,[ 1.55267808  0.79815282  0.01829484],False
43,[ 0.22477152 -0.03493053  0.92350435],4,400,-5544.30529582,[ 1.54903394  0.80140116  0.00225145],False
44,[ 0.58057209  0.27612816  0.63836919],4,400,-5651.79385097,[ 1.54904299  0.79997318  0.00575596],False
45,[ 0.85943633  0.5915995   0.92548661],4,400,-5428.96182595,[ 1.55875617  0.79744207  0.00808428],False
